"name","alias","city","state","url","control","deg_predomnt","deg_highest","locale_type","is_hbcu","is_pbi","is_annhi","is_tribal","is_aanapii","is_hsi","is_nanti","is_only_men","is_only_women","religious_affil","adm_rate","sat_avg","sat_mid50","act_p25","act_p75","act_mid50","sat_p25","sat_p75","ug_enrollment","net_price","cost_avg_income_0_30k","cost_avg_income_30_48k","cost_avg_income_48_75k","cost_avg_income_75_110k","cost_avg_income_110k_plus","earnings_med_10y","rate_completion","rm_board_dif","ratio","student_fac_ratio","no_aid","ROOMBOARD_ON","ROOMBOARD_OFF","MD_EARN_WNE_INC2_P6","TUITIONFEE_IN","TUITIONFEE_OUT"
"University of the Ozarks","Ozarks","Clarksville","AR","https://ozarks.edu/",2,3,3,33,0,0,0,0,0,0,0,0,0,66,0.5814,1088,1040,18,23,21,1020,1160,753,31650223,10780,10743,13810,13331,19376,44384,0.4118,0,0.84259489577633,13,1,9490,9490,35702,25950,25950
"Philander Smith University","PSU","Little Rock","AR","https://www.philander.edu/",2,3,3,12,1,0,0,0,0,0,0,0,0,71,NA,NA,NA,NA,NA,NA,NA,NA,842,31650223,15661,14460,15092,20335,NA,38427,0.1877,-4376,NA,12,1,10000,14376,NA,13014,13014
"Williams Baptist University",NA,"Walnut Ridge","AR","https://williamsbaptistuniversity.com/",2,3,4,42,0,0,0,0,0,0,0,0,0,75,0.5888,1018,980,16,22,22,920,1060,490,31650223,13498,16882,14728,18651,18456,38484,0.2624,1280,0.774285978371384,12,1,8980,7700,36486,20330,20330
"Southern Arkansas University Main Campus",NA,"Magnolia","AR","https://www.saumag.edu/",1,3,4,33,0,0,0,0,0,0,0,0,0,NA,0.6659,1050,1040,17,23,22,920,1180,2865,31650223,NA,NA,NA,NA,NA,42386,0.3014,0,0.73273560558868,16,1,7601,7601,39390,9820,15400
"University of Arkansas-Fort Smith","UA Fort Smith; UAFS","Fort Smith","AR","https://uafs.edu/",1,3,4,13,0,0,0,0,0,0,0,0,0,NA,0.8147,1050,NA,18,23,NA,NA,NA,4133,31650223,NA,NA,NA,NA,NA,41102,0.0265,-2391,0.763888888888889,20,1,9799,12190,38062,6906,13770
"Art Center College of Design",NA,"Pasadena","CA","www.artcenter.edu/",2,3,4,12,0,0,0,0,0,0,0,0,0,NA,0.7498,NA,NA,NA,NA,NA,NA,NA,2054,31650223,42545,40905,46301,52165,60976,71958,0.387,NA,0.980873499607374,8,1,NA,17272,55181,51640,51640
"Azusa Pacific University",NA,"Azusa","CA","www.apu.edu/",2,3,4,21,0,0,0,0,1,1,0,0,0,88,0.7948,1155,1120,18,26,22,990,1320,2977,31650223,17839,19271,20848,21641,23832,66677,0.4923,-10510,0.86962753132008,10,1,9724,20234,59210,43600,43600
"Bethesda University","Bethesda University","Anaheim","CA","www.buc.edu/",2,3,4,11,0,0,0,0,0,0,0,0,0,99,NA,NA,NA,NA,NA,NA,NA,NA,212,31650223,7543,8387,NA,NA,11766,NA,0.0833,NA,NA,11,1,NA,11066,NA,7220,7220
"Biola University",NA,"La Mirada","CA","https://www.biola.edu/",2,3,4,21,0,0,0,0,0,0,0,0,0,88,0.6008,1258,1230,24,30,26,1130,1360,3390,31650223,23001,21504,25038,28830,35263,56778,0.5541,0,0.91905317264913,14,1,11234,11234,45840,46704,46704
"California Institute of Integral Studies","CIIS","San Francisco","CA","https://www.ciis.edu/",2,3,4,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,31650223,NA,NA,NA,NA,NA,48848,NA,NA,NA,17,1,NA,NA,NA,NA,NA
"California Baptist University","CBU","Riverside","CA","www.calbaptist.edu/",2,3,4,11,0,0,0,0,0,1,0,0,0,75,0.7357,NA,NA,NA,NA,NA,NA,NA,7914,31650223,23788,24409,23799,28057,34648,61504,0.425,-8604,0.887222544610474,20,1,11630,20234,54266,39720,39720
